pack_id,share_url,sha,file_name,full_url
YXTE5D,https://sticker.ly/s/YXTE5D,a7304d4e-41c5-41a7-95c0-70c9b3ddbebc,a7304d4e-41c5-41a7-95c0-70c9b3ddbebc.png,https://stickerly.pstatic.net/sticker_pack/WygQt5v1WE48PZiw0C0UPA/YXTE5D/25/a7304d4e-41c5-41a7-95c0-70c9b3ddbebc.png
YXTE5D,https://sticker.ly/s/YXTE5D,7c5b1af8-93a1-4e64-9696-e4db52e5d91c,7c5b1af8-93a1-4e64-9696-e4db52e5d91c.png,https://stickerly.pstatic.net/sticker_pack/WygQt5v1WE48PZiw0C0UPA/YXTE5D/25/7c5b1af8-93a1-4e64-9696-e4db52e5d91c.png
YXTE5D,https://sticker.ly/s/YXTE5D,c963a87c-23a9-4e8d-bfb5-a39915b9bc15,c963a87c-23a9-4e8d-bfb5-a39915b9bc15.png,https://stickerly.pstatic.net/sticker_pack/WygQt5v1WE48PZiw0C0UPA/YXTE5D/25/c963a87c-23a9-4e8d-bfb5-a39915b9bc15.png
YXTE5D,https://sticker.ly/s/YXTE5D,664d55ae-502c-4418-8326-0c05d9125e93,664d55ae-502c-4418-8326-0c05d9125e93.png,https://stickerly.pstatic.net/sticker_pack/WygQt5v1WE48PZiw0C0UPA/YXTE5D/25/664d55ae-502c-4418-8326-0c05d9125e93.png
YXTE5D,https://sticker.ly/s/YXTE5D,a0de92e9-c0bc-4508-b414-6d2a34ab1abe,a0de92e9-c0bc-4508-b414-6d2a34ab1abe.png,https://stickerly.pstatic.net/sticker_pack/WygQt5v1WE48PZiw0C0UPA/YXTE5D/25/a0de92e9-c0bc-4508-b414-6d2a34ab1abe.png
YXTE5D,https://sticker.ly/s/YXTE5D,4458a42f-aafb-4658-855f-46b892425f88,4458a42f-aafb-4658-855f-46b892425f88.png,https://stickerly.pstatic.net/sticker_pack/WygQt5v1WE48PZiw0C0UPA/YXTE5D/25/4458a42f-aafb-4658-855f-46b892425f88.png
YXTE5D,https://sticker.ly/s/YXTE5D,e9c4b145-8e26-4ebc-8373-eabeda78ffd5,e9c4b145-8e26-4ebc-8373-eabeda78ffd5.png,https://stickerly.pstatic.net/sticker_pack/WygQt5v1WE48PZiw0C0UPA/YXTE5D/25/e9c4b145-8e26-4ebc-8373-eabeda78ffd5.png
YXTE5D,https://sticker.ly/s/YXTE5D,182ae4ba-fd8a-493d-880c-095b2f2f055b,182ae4ba-fd8a-493d-880c-095b2f2f055b.png,https://stickerly.pstatic.net/sticker_pack/WygQt5v1WE48PZiw0C0UPA/YXTE5D/25/182ae4ba-fd8a-493d-880c-095b2f2f055b.png
YXTE5D,https://sticker.ly/s/YXTE5D,6b59514c-0c32-46d5-bd1f-823a84610fe8,6b59514c-0c32-46d5-bd1f-823a84610fe8.png,https://stickerly.pstatic.net/sticker_pack/WygQt5v1WE48PZiw0C0UPA/YXTE5D/25/6b59514c-0c32-46d5-bd1f-823a84610fe8.png
YXTE5D,https://sticker.ly/s/YXTE5D,66972b78-837b-4b82-9cd4-afcbcc4620b9,66972b78-837b-4b82-9cd4-afcbcc4620b9.png,https://stickerly.pstatic.net/sticker_pack/WygQt5v1WE48PZiw0C0UPA/YXTE5D/25/66972b78-837b-4b82-9cd4-afcbcc4620b9.png
